,SOAP Vec. Elem. 0,SOAP Vec. Elem. 1,SOAP Vec. Elem. 2,SOAP Vec. Elem. 3,SOAP Vec. Elem. 4,SOAP Vec. Elem. 5,SOAP Vec. Elem. 6,SOAP Vec. Elem. 7,SOAP Vec. Elem. 8,Density (g/cm^3)
Al,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,2.720050205
Au,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,18.02564918
Ba,6.24818975,0.70660352,0.07990931,0,0,0,9.94E-08,3.87E-06,0.000150537,3.508308296
Be,9.730325186,1.769856424,0.321920563,6.18E-35,0,3.86E-36,0.001007641,0.000113604,1.86E-05,1.882614921
Bi,6.336124333,1.412375216,0.314830272,2.41E-37,0,1.54E-35,8.91E-05,0.000127374,0.001625694,10.10913437
Ca,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,1.534815623
Ce,6.333342258,0.713463398,0.080373048,0,0,0,8.06E-05,6.23E-05,4.82E-05,9.159577866
Co,7.002216184,0.751375946,0.080626733,0,0,0,0.001883336,0.000173089,1.59E-05,9.197331638
Cr,6.832618911,0.742085276,0.080597288,0,0,0,0.001356625,0.000159614,1.88E-05,6.598776785
Cu,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,9.218996047
Dy,6.244981534,0.974118407,0.151947074,1.64E-42,0,1.72E-36,2.32E-15,-8.20E-09,0.029031223,8.534150223
Fe,6.974968307,0.749892864,0.080622489,0,0,0,0.00179796,0.00017123,1.63E-05,7.902858231
Ga,7.047147907,1.498378046,0.318588002,4.82E-36,-2.89E-36,5.07E-36,0.000864533,0.000695544,0.000718335,6.037763282
Gd,6.273951251,0.709509512,0.080237115,0,0,0,1.23E-05,2.98E-05,7.25E-05,7.70365897
Ge,6.246539284,0.698080187,0.078013749,0,0,0,2.70E-14,-5.42E-09,0.001088558,5.280205104
Hf,6.379138262,0.716260792,0.080423013,0,0,0,0.000156834,7.97E-05,4.05E-05,13.31273148
Ho,6.272379976,1.051740418,0.176353778,2.24E-37,-3.17E-36,5.49E-35,1.10E-05,0.000132655,0.001833199,8.809087656
I,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,4.703155669
Ir,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,22.30435361
La,6.271797811,1.400452844,0.312712276,6.41E-38,0,0,5.20E-06,0.000115955,0.002946246,6.139065893
Li,6.357607638,1.062927621,0.177710735,4.29E-37,0,5.49E-35,0.000104227,0.000320643,0.001110878,0.564938029
Lu,6.304151838,0.711603152,0.080324691,0,0,0,4.17E-05,4.85E-05,5.63E-05,9.954414453
Mn,9.67330607,12.56653909,16.32512231,3.00E-35,-1.01E-34,1.17E-33,0.000660344,0.00498146,0.037578839,7.005220777
Mo,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,10.02490865
Nb,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,8.44967196
Nd,6.278260175,1.401806867,0.312994753,1.51E-38,-6.03E-38,4.10E-36,7.42E-06,0.000135896,0.002823589,6.754398467
Ni,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,9.289219853
Np,7.453470766,3.079265809,1.272142632,2.80E-35,2.41E-35,2.41E-35,0.00059107,0.00027233,0.00074569,21.73167873
Os,6.69091728,0.734203034,0.080565052,0,0,0,0.000933297,0.000143911,2.22E-05,22.35969397
Pa,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,15.21497475
Pb,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,11.07963062
Pd,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,11.75902522
Pr,6.27408185,1.400876384,0.312787542,1.88E-38,1.81E-37,2.17E-36,6.01E-06,0.000124449,0.002924098,6.402452582
Pt,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,21.13492574
Pu,7.131672433,0.75837551,0.080644957,0,0,0,0.002290012,0.000180631,1.42E-05,23.30118432
Re,6.621377935,0.730287578,0.08054516,0,0,0,0.000735974,0.0001341,2.44E-05,20.87341902
Rh,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,12.39797767
Ru,6.733950025,0.736609558,0.080575834,0,0,0,0.001059351,0.000149218,2.10E-05,12.38495265
Sb,6.246526896,0.70427438,0.079404509,0,0,0,3.78E-11,1.10E-07,0.000322244,6.430788364
Sc,6.331126341,0.713325036,0.080369997,0,0,0,7.73E-05,6.14E-05,4.87E-05,2.984581038
Sm,6.285813993,1.403363281,0.3133132,7.92E-38,3.62E-37,7.72E-36,1.02E-05,0.000155479,0.002672426,7.386517949
Sn,6.246563819,0.693739283,0.07704623,0,0,0,4.57E-14,-9.18E-09,0.001842789,5.560776472
Ta,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,16.57316468
Tb,6.268152692,1.050956238,0.176209653,4.15E-39,-2.78E-37,2.74E-35,8.36E-06,0.000118345,0.001918936,8.18122866
Tc,6.663943802,0.732688363,0.080557738,0,0,0,0.000855724,0.000140301,2.30E-05,11.41849302
Th,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,11.98683882
Ti,6.840186032,1.11205242,0.180793414,6.86E-36,-2.32E-36,1.21E-36,0.000544053,0.000109249,3.16E-05,4.670172247
Tm,6.271191358,1.051725163,0.176382087,1.14E-37,-8.04E-38,1.72E-35,1.02E-05,0.000127353,0.001815347,9.148413822
U,6.319541438,0.712595058,0.080352621,0,0,0,6.11E-05,5.61E-05,5.16E-05,20.11372316
V,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,6.377544703
W,6.248474729,0.355628132,0.020240358,0,0,0,0,0,0,19.16071132
Zn,6.520626494,0.724545114,0.080508464,0,0,0,0.000469309,0.000116361,2.89E-05,7.53085732
Zr,6.355174741,0.714809724,0.080399511,0,0,0,0.000114882,7.12E-05,4.41E-05,6.44609409
