,SOAP Vec. Elem. 0,SOAP Vec. Elem. 1,SOAP Vec. Elem. 2,SOAP Vec. Elem. 3,SOAP Vec. Elem. 4,SOAP Vec. Elem. 5,SOAP Vec. Elem. 6,SOAP Vec. Elem. 7,SOAP Vec. Elem. 8,SOAP Vec. Elem. 9,SOAP Vec. Elem. 10,SOAP Vec. Elem. 11,SOAP Vec. Elem. 12,SOAP Vec. Elem. 13,SOAP Vec. Elem. 14,SOAP Vec. Elem. 15,SOAP Vec. Elem. 16,SOAP Vec. Elem. 17,SOAP Vec. Elem. 18,SOAP Vec. Elem. 19,SOAP Vec. Elem. 20,SOAP Vec. Elem. 21,SOAP Vec. Elem. 22,SOAP Vec. Elem. 23,SOAP Vec. Elem. 24,SOAP Vec. Elem. 25,SOAP Vec. Elem. 26,SOAP Vec. Elem. 27,SOAP Vec. Elem. 28,SOAP Vec. Elem. 29,SOAP Vec. Elem. 30,SOAP Vec. Elem. 31,SOAP Vec. Elem. 32,SOAP Vec. Elem. 33,SOAP Vec. Elem. 34,SOAP Vec. Elem. 35,SOAP Vec. Elem. 36,SOAP Vec. Elem. 37,SOAP Vec. Elem. 38,SOAP Vec. Elem. 39,SOAP Vec. Elem. 40,SOAP Vec. Elem. 41,SOAP Vec. Elem. 42,SOAP Vec. Elem. 43,SOAP Vec. Elem. 44,SOAP Vec. Elem. 45,SOAP Vec. Elem. 46,SOAP Vec. Elem. 47,SOAP Vec. Elem. 48,SOAP Vec. Elem. 49,SOAP Vec. Elem. 50,SOAP Vec. Elem. 51,SOAP Vec. Elem. 52,SOAP Vec. Elem. 53,SOAP Vec. Elem. 54,SOAP Vec. Elem. 55,SOAP Vec. Elem. 56,SOAP Vec. Elem. 57,SOAP Vec. Elem. 58,SOAP Vec. Elem. 59,SOAP Vec. Elem. 60,SOAP Vec. Elem. 61,SOAP Vec. Elem. 62,SOAP Vec. Elem. 63,SOAP Vec. Elem. 64,SOAP Vec. Elem. 65,SOAP Vec. Elem. 66,SOAP Vec. Elem. 67,SOAP Vec. Elem. 68,SOAP Vec. Elem. 69,SOAP Vec. Elem. 70,SOAP Vec. Elem. 71,SOAP Vec. Elem. 72,SOAP Vec. Elem. 73,SOAP Vec. Elem. 74,SOAP Vec. Elem. 75,SOAP Vec. Elem. 76,SOAP Vec. Elem. 77,SOAP Vec. Elem. 78,SOAP Vec. Elem. 79,SOAP Vec. Elem. 80,SOAP Vec. Elem. 81,SOAP Vec. Elem. 82,SOAP Vec. Elem. 83,SOAP Vec. Elem. 84,SOAP Vec. Elem. 85,SOAP Vec. Elem. 86,SOAP Vec. Elem. 87,SOAP Vec. Elem. 88,SOAP Vec. Elem. 89,SOAP Vec. Elem. 90,SOAP Vec. Elem. 91,SOAP Vec. Elem. 92,SOAP Vec. Elem. 93,SOAP Vec. Elem. 94,SOAP Vec. Elem. 95,SOAP Vec. Elem. 96,SOAP Vec. Elem. 97,SOAP Vec. Elem. 98,SOAP Vec. Elem. 99,SOAP Vec. Elem. 100,SOAP Vec. Elem. 101,SOAP Vec. Elem. 102,SOAP Vec. Elem. 103,SOAP Vec. Elem. 104,SOAP Vec. Elem. 105,SOAP Vec. Elem. 106,SOAP Vec. Elem. 107,SOAP Vec. Elem. 108,SOAP Vec. Elem. 109,SOAP Vec. Elem. 110,SOAP Vec. Elem. 111,SOAP Vec. Elem. 112,SOAP Vec. Elem. 113,SOAP Vec. Elem. 114,SOAP Vec. Elem. 115,SOAP Vec. Elem. 116,SOAP Vec. Elem. 117,SOAP Vec. Elem. 118,SOAP Vec. Elem. 119,SOAP Vec. Elem. 120,SOAP Vec. Elem. 121,SOAP Vec. Elem. 122,SOAP Vec. Elem. 123,SOAP Vec. Elem. 124,SOAP Vec. Elem. 125,SOAP Vec. Elem. 126,SOAP Vec. Elem. 127,SOAP Vec. Elem. 128,SOAP Vec. Elem. 129,SOAP Vec. Elem. 130,SOAP Vec. Elem. 131,SOAP Vec. Elem. 132,SOAP Vec. Elem. 133,SOAP Vec. Elem. 134,SOAP Vec. Elem. 135,SOAP Vec. Elem. 136,SOAP Vec. Elem. 137,SOAP Vec. Elem. 138,SOAP Vec. Elem. 139,SOAP Vec. Elem. 140,SOAP Vec. Elem. 141,SOAP Vec. Elem. 142,SOAP Vec. Elem. 143,SOAP Vec. Elem. 144,SOAP Vec. Elem. 145,SOAP Vec. Elem. 146,SOAP Vec. Elem. 147,SOAP Vec. Elem. 148,SOAP Vec. Elem. 149,SOAP Vec. Elem. 150,SOAP Vec. Elem. 151,SOAP Vec. Elem. 152,SOAP Vec. Elem. 153,SOAP Vec. Elem. 154,SOAP Vec. Elem. 155,SOAP Vec. Elem. 156,SOAP Vec. Elem. 157,SOAP Vec. Elem. 158,SOAP Vec. Elem. 159,SOAP Vec. Elem. 160,SOAP Vec. Elem. 161,SOAP Vec. Elem. 162,SOAP Vec. Elem. 163,SOAP Vec. Elem. 164,SOAP Vec. Elem. 165,SOAP Vec. Elem. 166,SOAP Vec. Elem. 167,SOAP Vec. Elem. 168,SOAP Vec. Elem. 169,SOAP Vec. Elem. 170,SOAP Vec. Elem. 171,SOAP Vec. Elem. 172,SOAP Vec. Elem. 173,SOAP Vec. Elem. 174,SOAP Vec. Elem. 175,SOAP Vec. Elem. 176,SOAP Vec. Elem. 177,SOAP Vec. Elem. 178,SOAP Vec. Elem. 179,SOAP Vec. Elem. 180,SOAP Vec. Elem. 181,SOAP Vec. Elem. 182,SOAP Vec. Elem. 183,SOAP Vec. Elem. 184,SOAP Vec. Elem. 185,SOAP Vec. Elem. 186,SOAP Vec. Elem. 187,SOAP Vec. Elem. 188,International Number 62,International Number 63,International Number 64,International Number 71,International Number 136,International Number 139,International Number 166,International Number 176,International Number 191,International Number 194,International Number 217,International Number 221,International Number 225,International Number 227,International Number 229,Density (g/cm3),Energy Per Atom (eV),Total Magnetization (microB/f.u.),Surface Energy (J/m2)
Ag,0.030093423,0.506374234,0.695518388,0.685896032,0.753112833,0.92619094,8.520628037,11.7033077,11.54139481,12.67243451,15.58477498,16.07480229,15.85241066,17.40592357,21.40610013,15.63309577,17.16511615,21.10995108,18.84727226,23.17869521,28.50555264,2.12E-31,-1.18E-31,5.73E-31,-1.03E-30,1.16E-30,-4.30E-31,1.37E-31,-5.67E-31,5.78E-31,-3.88E-31,2.96E-32,2.53E-30,-2.52E-30,1.97E-30,-2.65E-31,5.73E-30,-6.30E-30,2.49E-30,7.89E-30,-3.49E-30,1.73E-30,0.000440061,-0.000387482,0.001810599,-0.012544307,-0.019666534,-0.059217126,0.000423507,-0.001701888,0.010704826,0.016655193,0.038838683,0.007735931,-0.052353301,-0.083545939,-0.22305322,0.36913455,0.591873964,1.711544629,0.968062507,2.675777231,10.25127815,4.54E-32,-5.91E-32,1.49E-31,-7.22E-32,1.31E-31,-8.39E-32,4.09E-31,-6.34E-31,2.45E-31,-2.03E-31,1.42E-31,1.41E-30,-4.23E-31,1.00E-31,-1.95E-31,3.09E-31,-2.05E-31,2.55E-31,9.73E-31,-3.92E-31,2.97E-31,0.000253969,-0.00095201,0.00135877,-0.002442741,0.006921508,-0.019831606,0.003569275,-0.005097254,0.009215445,-0.025604578,0.073931485,0.007293938,-0.013433925,0.034957304,-0.10342514,0.066463052,0.108163995,0.186769681,0.919224972,-0.623398636,1.890713979,5.85E-34,1.08E-33,2.28E-33,-1.54E-33,-1.33E-33,1.44E-34,9.29E-33,4.51E-33,-7.45E-34,-4.43E-33,4.17E-33,4.75E-32,-5.38E-32,7.07E-33,3.23E-33,8.84E-32,-1.21E-32,-7.33E-33,1.82E-32,2.92E-33,6.23E-33,0.000112685,-0.000584798,0.000983655,-0.001318477,0.005133151,-0.005727623,0.003034928,-0.005105007,0.006841705,-0.026661822,0.029749465,0.008588897,-0.011480764,0.04521523,-0.050236428,0.016582511,-0.051980733,0.068869377,0.318520042,-0.292453261,0.387710403,6.71E-35,-1.45E-34,3.69E-34,-1.46E-34,3.96E-34,-1.33E-34,1.87E-33,-1.66E-33,1.04E-33,-2.34E-33,1.31E-33,3.51E-33,1.09E-34,3.39E-33,-1.60E-33,9.12E-33,2.53E-33,-1.07E-34,7.29E-33,-1.99E-33,1.23E-33,2.65E-05,-0.000155167,0.000296827,-0.000467021,0.00096356,-0.001396513,0.000909199,-0.00173942,0.002737587,-0.005653351,0.008204442,0.003329527,-0.005249179,0.01089866,-0.015930512,0.008334906,-0.017456941,0.026532634,0.040002103,-0.059992613,0.115900365,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.31541752,-21.35587715,1.20E-05,0.764597198
Al,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.720050205,-6.73209833,0,0.796792428
Au,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.02564918,-50.58496015,0,0.748957585
Ba,0.029480385,0.550956016,0.777844484,0.431915292,0.461258519,0.500721027,10.2967629,14.5370592,8.072022503,8.620415176,9.357926125,20.52354631,11.39615141,12.17037694,13.2116013,6.327964229,6.75787002,7.336032791,7.216982516,7.834424196,8.504690476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000672215,-0.00111161,0.001725371,-0.01350834,0.007197987,0.050300861,0.001838216,-0.002853164,0.022338097,-0.011902967,-0.083180132,0.004428504,-0.034671806,0.018475046,0.129107034,0.271453751,-0.144645497,-1.010809445,0.077075081,0.538614899,3.763940375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89E-05,-0.000340127,0.000550801,-0.001867959,0.00024067,0.015102409,0.001301157,-0.002107089,0.007145876,-0.000920682,-0.057774265,0.003412213,-0.011572004,0.001490949,0.093559424,0.039244703,-0.00505633,-0.317292659,0.000651463,0.040880328,2.565304935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35E-07,-4.30E-06,7.49E-06,-2.36E-05,-8.36E-05,0.00091225,2.21E-05,-3.86E-05,0.000121614,0.000430517,-0.004696502,6.72E-05,-0.000211816,-0.000749836,0.008179951,0.000668027,0.00236484,-0.025798,0.008371614,-0.091325795,0.996271567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44E-06,-8.53E-06,1.73E-05,-3.13E-05,0.000115314,-0.000596923,5.06E-05,-0.000102816,0.00018575,-0.000683915,0.003540296,0.000209068,-0.000377707,0.001390683,-0.007198888,0.000682375,-0.00251244,0.013005675,0.009250569,-0.047885679,0.247880778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.508308296,-1.91897494,0.0339546,0.313651273
Be,0.038750716,0.508007821,1.095707066,1.602249973,1.511523375,1.219632328,6.659798224,14.36432209,21.00491583,19.81552305,15.98893733,30.98198208,45.30488259,42.73951641,34.48606669,66.24922773,62.49789856,50.42889762,58.95898651,47.57338668,38.38646581,7.90E-32,1.90E-31,-1.26E-31,0,-1.26E-31,1.90E-31,2.28E-30,-4.55E-30,0,-1.52E-30,2.28E-30,1.01E-29,0,3.04E-30,-4.55E-30,0,0,0,1.01E-30,-1.52E-30,2.28E-30,4.07E-05,-4.46E-05,1.61E-05,-0.003408314,-0.007480467,-0.007076921,5.60E-05,6.64E-05,0.003971507,0.008534977,0.008048628,0.031003703,0.10592305,0.116946029,0.0842101,0.656892317,1.040860535,0.892885869,1.837767156,1.636470362,1.474380092,3.35E-33,-1.23E-32,1.36E-32,-1.81E-32,-7.17E-33,-2.00E-33,5.99E-32,-4.93E-32,1.05E-31,4.88E-32,1.05E-32,6.40E-32,-6.09E-32,-2.22E-32,-7.83E-33,2.28E-31,1.27E-31,4.50E-33,1.12E-31,-2.01E-32,1.82E-32,1.13E-07,-5.05E-07,-7.50E-06,-4.39E-05,-5.65E-05,-3.67E-05,2.38E-06,5.01E-05,0.000253115,0.000235204,8.96E-05,0.003148298,0.011861459,-0.000158433,-0.010977011,0.047319846,0.00917678,-0.030472576,0.03711596,0.042153557,0.085005344,1.84E-34,-1.30E-33,5.25E-34,-4.98E-34,4.58E-34,-2.02E-34,1.45E-32,-2.18E-33,3.90E-34,-6.81E-33,1.05E-33,6.18E-33,-1.14E-33,2.48E-33,-1.82E-33,1.49E-32,-1.45E-33,9.96E-34,6.07E-33,-9.92E-34,7.48E-34,3.25E-07,-1.73E-06,-1.08E-06,-4.37E-05,-4.43E-05,3.70E-06,9.18E-06,5.82E-06,0.000233266,0.000239301,-1.52E-05,1.18E-05,0.000273553,0.000700984,0.000664323,0.007890523,0.014683004,0.010173319,0.044007616,0.045984336,0.056983565,7.57E-36,-4.34E-35,5.62E-35,-7.25E-35,4.55E-35,-1.51E-35,4.61E-34,-3.94E-34,5.71E-34,-4.23E-34,6.82E-35,8.13E-34,-7.19E-34,4.11E-34,-1.55E-34,1.11E-33,-6.23E-34,2.48E-34,6.64E-34,-8.33E-35,2.86E-34,1.61E-08,-9.55E-08,2.08E-07,1.80E-07,6.03E-06,1.12E-05,5.66E-07,-1.23E-06,-1.06E-06,-3.57E-05,-6.66E-05,2.70E-06,3.07E-06,8.19E-05,0.000150312,2.25E-05,0.000183072,0.000276796,0.0029097,0.00506075,0.008959401,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.882614921,-3.739412865,1.00E-07,1.901625
Bi,0.02859334,0.523940369,0.698737881,0.500125278,0.523464314,0.837982373,9.600610193,12.8035754,9.164225799,9.591887035,15.35507205,17.07511709,12.22160401,12.79194202,20.4778466,8.747676742,9.155899142,14.65712539,9.583171804,15.34112036,24.55867208,1.05E-31,-1.63E-31,-6.22E-32,-3.52E-31,2.89E-31,5.34E-32,3.99E-31,-1.15E-31,5.85E-31,-6.48E-31,-1.82E-31,4.15E-31,-1.58E-32,1.42E-31,1.19E-31,1.58E-30,-1.07E-30,-2.21E-31,1.07E-30,2.85E-31,9.49E-32,0.001517531,-0.002462626,0.007991271,-0.01791558,-0.012185297,-0.077438418,0.004071464,-0.01393991,0.031543568,0.032738208,0.116135259,0.061120875,-0.132515433,-0.305113892,-0.369663056,0.298707063,0.640544152,0.682808914,3.16445003,-0.058287857,6.279560712,2.25E-32,-5.07E-33,-2.27E-32,6.55E-32,1.70E-32,-1.92E-32,5.42E-32,-1.72E-32,-9.24E-33,-5.89E-32,2.19E-32,1.54E-31,-5.50E-32,-1.38E-32,-8.15E-33,7.45E-31,-1.55E-31,-4.36E-32,1.50E-31,-3.26E-32,2.88E-32,0.001085901,-0.004076327,0.005887664,-0.010914358,0.039141757,-0.017087595,0.015303018,-0.02211235,0.041019592,-0.146439649,0.063784598,0.032224083,-0.060719596,0.197973688,-0.107580406,0.118092858,-0.321088448,0.245638747,2.085924643,0.137598366,2.619725824,7.65E-34,-3.29E-33,3.41E-33,-3.47E-33,3.33E-34,-1.00E-33,4.21E-32,-9.48E-33,3.77E-32,1.35E-32,-2.94E-33,7.37E-32,-3.26E-32,-8.84E-33,-1.89E-32,6.16E-32,2.18E-32,2.62E-33,4.92E-32,-9.37E-34,7.87E-33,0.000413451,-0.002147121,0.0036315,-0.006242338,0.011302695,-0.015042415,0.011150363,-0.018859046,0.032418013,-0.058700659,0.07812934,0.031899114,-0.054868714,0.098971739,-0.132625594,0.095039475,-0.163330962,0.237522501,0.393782902,-0.314164513,0.933851587,1.29E-34,-4.41E-34,5.94E-34,-1.13E-33,9.67E-34,-3.23E-34,2.52E-33,-2.75E-33,4.58E-33,-3.45E-33,1.42E-33,4.84E-33,-7.41E-33,5.33E-33,-2.06E-33,1.48E-32,-1.04E-32,4.08E-33,1.11E-32,-3.54E-33,1.48E-33,0.000126158,-0.000739669,0.001421285,-0.00232624,0.003979619,-0.006047014,0.004336712,-0.008333114,0.013639209,-0.023335186,0.035464508,0.016012913,-0.026212156,0.044864507,-0.068259006,0.042930628,-0.073416934,0.112881701,0.129447577,-0.185150084,0.396414034,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.10913437,-3.84048913,0,0.079893272
Ca,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.534815623,-7.0382937,2.60E-06,0.465376047
Cd,0.024686569,0.494201052,0.643673327,0.51325833,0.555977183,0.477309104,9.893423492,12.88571279,10.27493164,11.13012146,9.555263157,16.78302706,13.38260898,14.49645298,12.44527507,10.67115142,11.55931889,9.923731233,12.52140917,10.74969039,9.228661249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11E-05,-0.000129449,0.001323773,-0.000725905,-0.010439126,-0.01293115,0.000328042,-0.003354612,0.001839537,0.026454098,0.032769208,0.034304834,-0.018811419,-0.270524148,-0.33510355,0.010315441,0.148344784,0.183757584,2.133323705,2.642589767,3.27342759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69E-06,-5.27E-06,-1.97E-05,3.05E-05,0.001066596,0.001576069,1.65E-05,6.17E-05,-9.53E-05,-0.00333373,-0.004926128,0.000230864,-0.000356895,-0.012480013,-0.01844125,0.000551729,0.019293012,0.028508565,0.674643787,0.996895963,1.473075984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87E-06,-9.74E-06,1.51E-05,-1.88E-05,0.000410256,0.000802535,5.09E-05,-7.87E-05,9.84E-05,-0.002142191,-0.004190514,0.000121849,-0.000152312,0.003315615,0.006485946,0.000190392,-0.004144562,-0.008107517,0.090221092,0.176488855,0.34524428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E-07,-1.36E-06,2.71E-06,-4.39E-06,3.49E-05,0.000104848,8.03E-06,-1.60E-05,2.60E-05,-0.000206535,-0.000619916,3.19E-05,-5.18E-05,0.000411624,0.001235492,8.40E-05,-0.000668076,-0.002005232,0.005313619,0.01594884,0.047870475,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.367710214,-20.10498769,3.00E-07,0.223153602
Ce,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.12365033,-30.84062876,3.30E-06,1.087154031
Co,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.026471226,-13.23423113,1.8379996,2.152068832
